,models,rmse,rmsestd,r2:,r2std
0,sridge,0.01660521853679405,0.010326190381777164,0.8624967324785585,0.10043363777157482
1,slasso,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
2,senet,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
3,splsridge,0.02037997863445491,0.011072267286948793,0.804269512492026,0.1476094634499975
4,splslasso,0.020368659577870457,0.011067099151214694,0.8043151549721345,0.14779053999539174
5,splsenet,0.02037748120859981,0.011067932037135884,0.8042351656535842,0.1478072865716557
6,pmridge,0.015177142870277625,0.01106332197854399,0.8744286624464401,0.08200147040325764
7,pmlasso,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
8,pmenet,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
9,pmplsridge,0.015711779394880887,0.011802737955985002,0.8642354703418329,0.08115782799628987
10,pmplslasso,0.015711779394880887,0.011802737955985002,0.8642354703418329,0.08115782799628987
11,pmplsenet,0.015711779394880887,0.011802737955985002,0.8642354703418329,0.08115782799628987
12,mskridge,0.016788808392558696,0.010122624622641005,0.8619237203485783,0.10733759730413658
13,msklasso,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
14,mskenet,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
15,mskplsridge,0.019682611212731096,0.011204027673083755,0.817195269617739,0.16168779450835133
16,mskplslasso,0.022999917254556246,0.011171540377371461,0.7598963712531998,0.20606620889648475
17,mskplsenet,0.0215005040813621,0.011164891849575254,0.786555545848985,0.18135068792003206
18,tskridge,0.015405255307089758,0.010101781870417508,0.878308204292016,0.08873548623801954
19,tsklasso,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
20,tskenet,0.05911134350687594,0.029229791890582307,-0.565347863569145,0.3760406542975862
21,tskplsridge,0.016337870190684816,0.011249815560607885,0.8579522499740028,0.08261627134887094
22,tskplslasso,0.01791658153239724,0.011407091214626058,0.8425534447925421,0.090309952097802
23,tskplsenet,0.017087460631262673,0.011267024599876899,0.8512317917216794,0.0853763358267065
